table,Variable,Analysis,Site,Value,Zone,,,,,,,,Log10 Fitness,,,Log10 Size (HxWxL; cm3),,,Height (cm),,,ÃNo. of Branches,,,,,,,,Log10 Dist. to Neighbour (cm),,,Ranked Seed Set Ratio,,,Log10 Growth Rate (cm3/day),,,ÃFlowering Duration (days),,
5,D2N,mean,LH,71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,LH,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,MNS,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,MNS,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,TH,133,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,mean,TH,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,AR,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,AR,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,BH,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,BH,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,DB,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,DB,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,KB,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,KB,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,LH,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,LH,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,MNS,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,MNS,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,TH,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D2N,sd,TH,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,CV,AR,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,CV,AR,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BH,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BH,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DB,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DB,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,CV,KB,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
